Latein;Englisch;Deutsch
Alauda arvensis;Eurasian Skylark;Feldlerche
Alectoris rufa;Red-legged Partridge;Rothuhn
Anthus campestris;Tawny Pipit;Brachpieper
Anthus pratensis;Meadow Pipit;Wiesenpieper
Bubulcus ibis;Western Cattle Egret;Kuhreiher
Burhinus oedicnemus;Eurasian Thick-knee;Triel
Calandrella brachydactyla;Greater Short-toed Lark;Kurzzehenlerche
Carduelis cannabina;Common Linnet;Bluthänfling
Ciconia ciconia;White Stork;Weißstorch
Corvus frugilegus;Rook;Saatkrähe
Emberiza cirlus;Cirl Bunting;Zaunammer
Emberiza citrinella;Yellowhammer;Goldammer
Emberiza hortulana;Ortolan Bunting;Ortolan
Emberiza melanocephala;Black-headed Bunting;Kappenammer
Falco tinnunculus;Common Kestrel;Turmfalke
Galerida cristata;Crested Lark;Haubenlerche
Galerida theklae;Thekla's Lark;Theklalerche
Hirundo rustica;Barn Swallow;Rauchschwalbe
Lanius collurio;Red-backed Shrike;Neuntöter
Lanius minor;Lesser Grey Shrike;Schwarzstirnwürger
Lanius senator;Woodchat Shrike;Rotkopfwürger
Limosa limosa;Black-tailed Godwit;Uferschnepfe
Melanocorypha calandra;Calandra Lark;Kalanderlerche
Miliaria calandra;Corn Bunting;Grauammer
Motacilla flava;Western Yellow Wagtail;Schafstelze
Oenanthe hispanica;Black-eared Wheatear;Mittelmeer-Steinschmätzer
Passer montanus;Eurasian Tree Sparrow;Feldsperling
Perdix perdix;Grey Partridge;Rebhuhn
Petronia petronia;Rock Sparrow;Steinsperling
Saxicola rubetra;Whinchat;Braunkehlchen
Saxicola torquata;African Stonechat;Schwarzkehlchen
Serinus serinus;European Serin;Girlitz
Streptopelia turtur;European Turtle-Dove;Turteltaube
Sturnus unicolor;Spotless Starling;Einfarbstar
Sturnus vulgaris;Common Starling;Star
Sylvia communis;Common Whitethroat;Dorngrasmücke
Tetrax tetrax;Little Bustard;Zwergtrappe
Upupa epops;Common Hoopoe;Wiedehopf
Vanellus vanellus;Northern Lapwing;Kiebitz
Sylvia hortensis;Western Orphean Warbler;Orpheusgrasmücke
Sylvia nisoria;Barred Warbler;Sperbergrasmücke
